Longitude,Latitude,Year,Month,Avg Capacity (1000 m3/d),Avg Throughput (1000 m3/d),Avg Throughput (GJ/d)
-112.018,53.6374,2021,7,133232.0,105210.37222323008,3976952.0700380965
-112.018,53.6374,2021,8,133232.0,101273.67645164445,3828144.9698721603
-112.018,53.6374,2021,9,133232.0,101582.63850739997,3839823.7355797193
-112.018,53.6374,2021,10,133232.0,113370.17471483361,4285392.604220711
-112.018,53.6374,2021,11,149679.0,124610.00561065295,4710258.212082681
-112.018,53.6374,2021,12,149679.0,134435.56480132253,5081664.349489991
-112.018,53.6374,2022,1,149679.0,135192.6655552019,5110282.757986632
-112.018,53.6374,2022,2,149679.0,133162.7966971535,5033553.715152402
-112.018,53.6374,2022,3,149679.0,125309.45353849149,4736697.343754978
-112.018,53.6374,2022,4,120663.0,116708.15546871847,4411568.276717558
-112.018,53.6374,2022,5,120663.0,103154.15513567507,3899227.0641285176
-112.018,53.6374,2022,6,120663.0,97765.04007323403,3695518.5147682456
-112.018,53.6374,2022,7,120663.0,104812.53399208169,3961913.784900687
-112.018,53.6374,2022,8,120663.0,107275.75704089926,4055023.616145992
-112.018,53.6374,2022,9,120663.0,110321.0229325933,4170134.6668520267
-112.018,53.6374,2022,10,120663.0,117693.11917911287,4448799.904970466
-112.018,53.6374,2022,11,150691.0,132167.02505609632,4995913.54712044
-112.018,53.6374,2022,12,150691.0,141023.0426322673,5330671.011499704
-112.018,53.6374,2023,1,150691.0,135693.11020885385,5129199.5658946745
-112.018,53.6374,2023,2,150691.0,130987.15637279932,4951314.510891815
-112.018,53.6374,2023,3,150691.0,131583.6048379861,4973860.2628758745
-112.018,53.6374,2023,4,125432.0,113114.70624601087,4275735.896099211
-112.018,53.6374,2023,5,125432.0,103381.8959115649,3907835.665457153
-112.018,53.6374,2023,6,125432.0,106387.6763459942,4021454.1658785804
-112.018,53.6374,2023,7,125432.0,110407.86899623931,4173417.4480578457
-112.018,53.6374,2023,8,125432.0,111618.33478221108,4219173.054767578
-112.018,53.6374,2023,9,125432.0,106415.0886217602,4022490.3499025353
-111.80979,56.9473,2010,11,35400.0,21645.29738175333,818192.2410302759
-111.80979,56.9473,2010,12,35400.0,22100.306474151617,835391.584722931
-111.80979,56.9473,2011,1,35400.0,22339.283977303225,844424.9343420619
-111.80979,56.9473,2011,2,35400.0,21548.343601360713,814527.3881314349
